"","ALB","AND","ARM","AUT","AZE","BLR","BEL","BIH","BGR","HRV","CYP","CZE","DNK","EST","FIN","FRA","GEO","DEU","GRC","HUN","ISL","IRL","ISR","ITA","KAZ","KGZ","LVA","LTU","LUX","MKD","MLT","MDA","MNE","NLD","NOR","POL","PRT","ROU","RUS","SRB","SVK","SVN","ESP","SWE","CHE","TJK","TUR","TKM","UKR","GBR","UZB"
"1-4",0.477581272824655,0.503154991924019,0.468903563404451,0.484030353510767,0.465783851130025,0.485166268470885,0.488455232969161,0.485452433596471,0.485857612605927,0.48532353542654,0.483778362265212,0.487534114895189,0.487033296079975,0.48664718827398,0.488358379601655,0.488594182341147,0.481239348245025,0.486471434521411,0.48849118499539,0.486353227342635,0.493878288252414,0.487801464198057,0.486495409309007,0.485995770782726,0.4854166575909,0.486032666071535,0.483719682501119,0.486945564421975,0.487189508302619,0.483033513382263,0.482884223705649,0.485910190128481,0.478266208462646,0.487671392016717,0.4871120918688,0.486293725769085,0.489605581610492,0.486010794915167,0.487010146320029,0.4833507967238,0.487484980811368,0.485674087834263,0.485876559137233,0.4854460491541,0.485383572290855,0.486667432604824,0.486775829960662,0.485401205489763,0.484853637566986,0.487603833428849,0.482180510487738
"5-9",0.473625679568401,0.497166714734873,0.467346572986973,0.486015117463672,0.463992628570128,0.485770617319376,0.488405513989995,0.485364541941446,0.485891234609751,0.485798267107098,0.481899888077726,0.488100427838393,0.486628221040799,0.487053780359101,0.489043638330165,0.488067942199033,0.476033897028021,0.485629705685306,0.488925321795999,0.48660081865478,0.485294164507402,0.489707291677177,0.487728749549871,0.485466241172201,0.487351828878834,0.488807274343922,0.486942656574496,0.48736421099181,0.487140859036687,0.483383832495569,0.480096111598432,0.487134938200278,0.477974771981634,0.488117977375995,0.486597366445928,0.486961868297747,0.488789875838617,0.486022844654075,0.487631855118338,0.469662714598792,0.487270962842947,0.485592300121566,0.485445123262199,0.485767515205544,0.486091055217824,0.484859762847558,0.486745377954675,0.483700201908581,0.484533222983748,0.488116407350986,0.484680434290906
"10-14",0.474534199932228,0.469005979696965,0.463293349210873,0.486879725576414,0.464644299882618,0.486030993070132,0.488468931150734,0.486556494640593,0.484785581820074,0.485858750651796,0.482536369452992,0.486551939268611,0.487840546821239,0.486946919993297,0.489197427376999,0.488626671998896,0.468453269930764,0.485128753768391,0.488953864524623,0.486366060012987,0.490923949995157,0.487875007249001,0.487725992192148,0.484992974040456,0.488661100961439,0.489793506647379,0.486063044330695,0.488133306947145,0.479997083893981,0.484608353733175,0.486178081811736,0.487249782897013,0.478746458193802,0.488298165300873,0.489073474738792,0.487105710806758,0.488007409947798,0.486166148238963,0.487581821754023,0.469831804430724,0.486169828828763,0.485673607178662,0.487211971205173,0.485936443554402,0.487235799762745,0.484719147206178,0.486612396808718,0.480268746751417,0.486027352006,0.488063057625171,0.486735771446258
"15-19",0.481555342425203,0.487286597751746,0.470240688275016,0.477313777627521,0.473384113428824,0.484363975628904,0.489444735927377,0.487692140190195,0.485512592650968,0.487708635059132,0.48581493504159,0.486233187126085,0.487901300595685,0.484071195239185,0.486474159134005,0.487233399476793,0.467773690033682,0.480613515626607,0.48960140322905,0.485950860868017,0.492262476764296,0.488989371093588,0.487653701181951,0.482392561803454,0.492776419657387,0.492837828696779,0.488522683300934,0.485490790504248,0.488296995382076,0.4823322043567,0.491643632794816,0.485548165336542,0.482230610986506,0.488381691586669,0.484416075741577,0.487404641144289,0.489407880472246,0.486326294623511,0.488013945105543,0.482874162644463,0.486877899789111,0.48348817414654,0.48573438587789,0.479881485486793,0.481003335154281,0.487540744745108,0.486512524416702,0.473098484323666,0.485420079154299,0.488411201448644,0.489436631585602
"20-24",0.480401973396253,0.459276658801553,0.495715308975606,0.483884429613563,0.494163151199312,0.485109712915866,0.494159796923182,0.486009771187176,0.483933069469289,0.489389744918955,0.477826770503803,0.488547377896367,0.488584612082406,0.48818844230743,0.487755862427111,0.493082307369051,0.481928402484789,0.477306945307074,0.489500675463551,0.487055511221924,0.484900526604869,0.49500709756088,0.490589592049986,0.482855221639088,0.500845173993932,0.495233754961272,0.485055912463142,0.487853061109964,0.489653283211705,0.482419211501155,0.480928867558979,0.488706689791087,0.481966489652067,0.49166574094396,0.483315240652437,0.49014627933833,0.49310890951453,0.485710504915398,0.490626213846974,0.484040329912821,0.488543537484472,0.485797388118516,0.490075480988788,0.482854868996003,0.485369169575426,0.493113543031191,0.489621909841081,0.467848658006243,0.488121749149588,0.493256908302108,0.495037530126471
"25-29",0.462573556003482,0.490643210916981,0.509833072459358,0.488615111876156,0.50158110985001,0.488614076803662,0.500493307416718,0.491034748333602,0.485013149497811,0.488775565786858,0.472977871331751,0.488927389367638,0.489949938553501,0.477069850360566,0.486316860354568,0.503669584146391,0.495536288047309,0.483780851339634,0.488983929781765,0.489915715067835,0.476898802146703,0.508536851603993,0.495603234821583,0.491285850261118,0.506021051456698,0.497233934713295,0.485808121119333,0.4851998191572,0.489805904226261,0.48150165708273,0.485035248097311,0.489511040554891,0.486742798254856,0.494469360514454,0.491390451174048,0.491003350994749,0.502643944904971,0.484709388024105,0.493767686274521,0.490163642862231,0.490041191244281,0.481394127469073,0.498142704668927,0.486222202084609,0.491348938036133,0.498423998435237,0.492313005373032,0.463189018433694,0.492190484286707,0.497626615904214,0.496895004684467
"30-34",0.476311933503726,0.494976705158905,0.513489569111459,0.493262687613094,0.492838356403107,0.495849937098075,0.500536484883346,0.490666175645145,0.482677075331458,0.48897036479088,0.486498438381819,0.484542984191298,0.491062226153725,0.483417133930387,0.484337089018001,0.508307107993641,0.50168377217969,0.489270757174144,0.49704506145121,0.493630629630116,0.484240894482044,0.521766440085691,0.498032571233408,0.496859235170776,0.504590959057503,0.497861376642381,0.488701419319253,0.49204738474703,0.498307051848155,0.483862303306787,0.47718293759028,0.488756691373752,0.494011255228469,0.496797632448875,0.484602570189718,0.492848681109946,0.510463156016864,0.488278445508863,0.499058728924588,0.492365080915097,0.487545960739563,0.476865145844462,0.49997940170524,0.48663317775564,0.491930617849134,0.496979483794871,0.493640202997426,0.463890271274355,0.499073944786201,0.497665055239491,0.499716100236138
"35-39",0.510385281819364,0.498958780056354,0.515847488306594,0.494881112187736,0.495564162253947,0.504500326571837,0.498323441162988,0.490260821714374,0.481670899796991,0.489195772571835,0.515517425078281,0.48446267822254,0.497304210722918,0.486062142328785,0.484318753977888,0.50592235982752,0.506949345375928,0.496396943848999,0.499870610089098,0.495537332815659,0.487979429049228,0.512081468924218,0.4999394526478,0.499223583599989,0.510073830484032,0.50366592694982,0.499344630342441,0.501598712160017,0.497699014629131,0.482504323037677,0.484760238541973,0.491800310570375,0.501876918656602,0.500741323937904,0.48309825889181,0.493732458777693,0.51708670988703,0.490490735144397,0.508823842123349,0.496748052869231,0.48557091592526,0.47322827166176,0.492734505015666,0.488668958034476,0.491666537490741,0.494521545721342,0.495750049128886,0.473988752653386,0.507632586810692,0.497972375620527,0.505100034672862
"40-44",0.531952614436847,0.491528825378167,0.525827024727337,0.502579884113637,0.509605154607444,0.514427961855386,0.494568763888736,0.500987909346202,0.486151354098833,0.493764676495638,0.537316013310936,0.486243426990958,0.499247518923239,0.492512148610008,0.486627477484816,0.502379908509932,0.509581981003603,0.499238373914792,0.499081088813085,0.495970693901572,0.489471188449456,0.503747848505515,0.500582927621374,0.50170851483917,0.517922445961191,0.513132648702406,0.50698827834499,0.516581063225972,0.490481840736438,0.487947378718828,0.486746449376472,0.50051390993931,0.510440036767829,0.502532552303702,0.48452544359644,0.495058318812544,0.517685578505557,0.4869479526125,0.517568397642476,0.495537651206116,0.48834707049343,0.478153474480129,0.490956795958421,0.491162415291917,0.493608017059051,0.501804954176656,0.496196520136638,0.485010555828092,0.517709798162507,0.500354324496476,0.509842235281665
"45-49",0.526170151338285,0.482941987018312,0.534268033201612,0.499334370633322,0.518493564431577,0.525354623433119,0.493712829207732,0.492904692221834,0.487396669521053,0.498666289625061,0.533610221433083,0.487171730851931,0.495408842885684,0.504300312115559,0.492719984311399,0.504162591718417,0.516742679520374,0.497626211502119,0.504094353903822,0.499797143027879,0.49608885897326,0.500985888906936,0.504588957266189,0.505258772494565,0.518012586589273,0.515021396447259,0.518761270853386,0.523198425495914,0.484595321066898,0.488820157953155,0.490790321699554,0.515608278914133,0.504408431317177,0.498647813538208,0.486517327802485,0.498491329778445,0.519291085836164,0.48834185493736,0.520955674899883,0.496759957942213,0.49476411636358,0.485684470225192,0.495664535816254,0.493554688760105,0.49405976743865,0.50808979355495,0.494257092924334,0.501418267034622,0.528226281193024,0.505093107182567,0.513719595680936
"50-54",0.513664733403589,0.474019643249677,0.541996692964338,0.497512152916922,0.527088261077866,0.534351799002873,0.494919379807672,0.504911336556742,0.497052707271707,0.505538583410748,0.519767463986307,0.491510071457021,0.49577818353649,0.515295835514092,0.49736636905063,0.508216893672932,0.530501598735117,0.497396975653822,0.511414103490828,0.510004111693695,0.505228317538435,0.505299763253765,0.506307495723504,0.507977628795407,0.530284761600213,0.526474351480462,0.529350119694748,0.528857730319483,0.476674221454548,0.489437827023442,0.496548661072777,0.540779350423345,0.504950755237541,0.496872026912584,0.485319519998424,0.503929177017193,0.523899475282001,0.494113074877703,0.53675595668032,0.505904287204886,0.503349071151365,0.492172477499083,0.502306105106876,0.491571173635409,0.49188827928924,0.511444063810148,0.497526624390361,0.523957312652624,0.545808676857736,0.505622843220488,0.518208050775924
"55-59",0.505730780536106,0.478010244860591,0.542042361682268,0.50300643115535,0.525789670670136,0.549093991372813,0.501282096109907,0.514771474597223,0.510523088670424,0.512799393605595,0.509998426173196,0.500738052874323,0.499906842182458,0.5366999785052,0.503393160930739,0.51355579621172,0.543604008129483,0.504174754125462,0.516469701108723,0.52934395794561,0.497094521931581,0.504633126639686,0.518388254370744,0.514650330366463,0.543434523104441,0.535999597536264,0.545822515174332,0.546423509239572,0.483964414081797,0.491245414941565,0.502092351356812,0.553950365846311,0.506667209944674,0.499839941938336,0.490014357484848,0.516085769689441,0.526511206399423,0.515021348614851,0.555563363842992,0.515873868373263,0.512337415312454,0.496649936189137,0.508944588208591,0.495573377358374,0.494600028829391,0.50958082020572,0.501456257791762,0.532354552643665,0.56274368608509,0.505174122711155,0.527810397862815
"60-64",0.503143656385422,0.469778220833783,0.553469206008399,0.516617845089199,0.540159969522994,0.5740879980051,0.507947513017785,0.524682673573721,0.532798458703881,0.519751732819856,0.495297678746527,0.517601704950236,0.505368235781838,0.56055092003032,0.511961676521527,0.521094153760588,0.562049199042386,0.512999367860724,0.516602899989918,0.54825573660664,0.496742584833971,0.503162674729639,0.525489715335536,0.51881093897716,0.568767130697567,0.555415256381573,0.573937579345402,0.570875878879493,0.498028114660653,0.499194657423366,0.501041674224473,0.570949587562006,0.511731641115484,0.501645469189966,0.498037949237589,0.531965226213651,0.531235429301595,0.537317047451322,0.583687279497706,0.520948059487151,0.531354723358725,0.49892908248388,0.5153967625062,0.500250380503193,0.501472945681166,0.51968181641638,0.510115509312592,0.547975656166754,0.587680552633163,0.508072885458835,0.536644786345367
"65-69",0.503369867501479,0.479555756706416,0.567737845016516,0.527840239304909,0.559010707227182,0.606016357945059,0.516012585523646,0.544702557845844,0.560834671969307,0.541466516337103,0.494640120787249,0.536965604339893,0.511141761985918,0.592853685448623,0.518857987432661,0.526294711328517,0.58447002040407,0.522134756665388,0.519602288277638,0.570607292373529,0.495658975547413,0.503754438667879,0.528449669439996,0.523280056976743,0.597918796964583,0.574590219941328,0.606449079959641,0.604113321828858,0.499543887318748,0.522180787241814,0.50744302310913,0.588645264243,0.540452291311654,0.504161624904891,0.4999764598559,0.554162924102105,0.535329197014239,0.556529008434498,0.610258193223594,0.526024874999058,0.554711914304701,0.516931733282394,0.525045945181805,0.506437655900761,0.515841803481515,0.522752875591767,0.526459258001064,0.561596203906742,0.614354178309309,0.513438249390337,0.554893368285018
"70-74",0.510533244374023,0.467804285486179,0.587051086246197,0.542904806330866,0.58569427660228,0.644572888803941,0.531697556628903,0.566684262299015,0.586016104043644,0.574527244709751,0.501818057521225,0.562749038979538,0.517821089249283,0.624511221357219,0.533274341521376,0.535241371380585,0.605333050933282,0.534181276333459,0.532290609434267,0.598680680061009,0.505811559267865,0.508823467034917,0.534689576664472,0.535120224530532,0.629268432864884,0.58725346438913,0.647817126317905,0.64097849238691,0.515787774777028,0.542800822525436,0.525088709695018,0.621919279687,0.572250609581267,0.513708428915727,0.512807451387138,0.582214786892164,0.553012199741264,0.580658556460084,0.643364493854434,0.537938625672184,0.593670289136669,0.551510948434191,0.538883234137029,0.510200786032105,0.52525235041292,0.486387499923598,0.548503096709957,0.57956558594938,0.651511292189993,0.521805427542959,0.578678349492841
"75-79",0.532555548968926,0.53297663738197,0.612995664474849,0.558554892165148,0.613592664317173,0.702721016841829,0.559463024552471,0.593530245838537,0.613722064355397,0.607662024178702,0.530256491536889,0.592564409387991,0.539114116991091,0.674004526262375,0.563059694122613,0.559113629988589,0.641731084951664,0.556014084174553,0.556235511210942,0.643972895280316,0.525886320859693,0.527127160986494,0.556580814540517,0.556718606198559,0.666477565097177,0.617703179586503,0.683432120411808,0.672257889429497,0.560230656853114,0.564666680510949,0.553818069996254,0.640320809729864,0.587686284822539,0.537976798279391,0.539871412447055,0.623514131474452,0.571206545882019,0.615873756356056,0.703777459678738,0.553230461246843,0.636139071832084,0.58003321046924,0.562515931891355,0.525742212010052,0.549188496404827,0.516041865867953,0.57317173810736,0.597830392347381,0.688972842773378,0.538979918581312,0.598124672529094
